question,system,scope,backbone,run_id,seed,artifact_id,vsfc_macro_f1,vsmec_macro_f1,aivivn_macro_f1,ord_f1,status
Q1b,Sailor-7B SFT,baseline,Sailor-7B,q1b_sailor_multitask_8head_20260521,21,external::q1b_sailor_multitask_8head_20260521,0.3395458883427234,0.41539850836552955,0.4708813901452613,0.4086085956178381,EXTERNAL_RETENTION_FOUND
Q1b,Sailor-7B SFT,baseline,Sailor-7B,q1b_sailor_multitask_8head_20260522,22,external::q1b_sailor_multitask_8head_20260522,0.3142476250449751,0.40121649558994044,0.4933445704528252,0.40293623036258025,EXTERNAL_RETENTION_FOUND
Q1b,Sailor-7B SFT,baseline,Sailor-7B,q1b_sailor_multitask_8head_20260523,23,external::q1b_sailor_multitask_8head_20260523,0.37691885218914417,0.4043902117880532,0.4973243371352245,0.4262111337041406,EXTERNAL_RETENTION_FOUND
Q1b,Vistral-7B SFT,baseline,Vistral-7B,q1b_vistral_multitask_8head_20260521,21,external::q1b_vistral_multitask_8head_20260521,0.2807960819682657,0.38173888931808636,0.4829761744586365,0.38183704858166284,EXTERNAL_RETENTION_FOUND
Q1b,Vistral-7B SFT,baseline,Vistral-7B,q1b_vistral_multitask_8head_20260522,22,external::q1b_vistral_multitask_8head_20260522,0.2596503108388579,0.3911579602300378,0.4988034295737695,0.38320390021422174,EXTERNAL_RETENTION_FOUND
Q1b,Vistral-7B SFT,baseline,Vistral-7B,q1b_vistral_multitask_8head_20260523,23,external::q1b_vistral_multitask_8head_20260523,0.38014451973299695,0.4102755169307199,0.48911825321204355,0.4265127632919201,EXTERNAL_RETENTION_FOUND
Q1b,ViPragSent (XLM-R-large),primary,XLM-R-large,xlmr_followup_q1b_vipragsent_full_20260521,21,external::xlmr_followup_q1b_vipragsent_full_20260521,0.3493444224228117,0.39264948002432065,0.461296862612315,0.4010969216864824,EXTERNAL_RETENTION_FOUND
Q1b,ViPragSent (XLM-R-large),primary,XLM-R-large,xlmr_followup_q1b_vipragsent_full_20260522,22,external::xlmr_followup_q1b_vipragsent_full_20260522,0.40463055942735165,0.4020502788308385,0.5032473275032734,0.4366427219204878,EXTERNAL_RETENTION_FOUND
Q1b,ViPragSent (XLM-R-large),primary,XLM-R-large,xlmr_followup_q1b_vipragsent_full_20260523,23,external::xlmr_followup_q1b_vipragsent_full_20260523,0.3827196974517926,0.40651425532914576,0.4735489198550706,0.42092762421200297,EXTERNAL_RETENTION_FOUND
