system,n,seeds,gpu_hours_mean,gpu_hours_sd,failed_or_retried_gpu_hours_mean,azure_cost_usd_mean,azure_cost_usd_sd,azure_cost_status
PhoBERT (single-task),3,"21,22,23",0.7114670623999134,0.06865813308935892,0.0,,,NOT_RECORDED
PhoBERT (fine-tune),3,"21,22,23",0.04431704757850471,0.0004119067887095472,0.0,,,NOT_RECORDED
XLM-R-large (baseline),3,"21,22,23",0.22905051070749458,0.0012519363650300807,0.0,,,NOT_RECORDED
Sailor-7B SFT,3,"21,22,23",1.0683492559575016,0.026517590978842254,0.0,,,NOT_RECORDED
Vistral-7B SFT,3,"21,22,23",1.135915939380087,0.0062413978347257894,0.0,,,NOT_RECORDED
ViPragSent (XLM-R-large),3,"21,22,23",1.5944004782409993,0.011753600253467819,0.0,,,NOT_RECORDED
