variant,n,seeds,pragmatic_f1_mean,pragmatic_f1_sd,ece_mean,ece_sd,ordinary_f1,normalized_cost,gpu_hours_mean,gpu_hours_n
ViPragSent XLM-R: Full,3,"21,22,23",0.9275892903752344,0.005659866902353747,0.07826302909851074,0.005901887117138826,,1.0,1.950556890809072,3
ViPragSent XLM-R: − emotion auxiliary,3,"21,22,23",0.9173395498819127,0.0066066555651598255,0.061784675404429445,0.02703922402462266,,0.6542783618868765,1.2762071672857187,3
ViPragSent XLM-R: − explanation/CoT auxiliary,3,"21,22,23",0.9233160525651145,0.012874280695104755,0.06838699725766977,0.021211701633793465,,0.19594476352637422,0.38220140871432334,3
ViPragSent XLM-R: − multi-task bundle,3,"21,22,23",0.7473180812033239,0.023392621260201175,0.11529807502031326,0.07013892231459652,,1.1029257523380367,2.1513194262737376,3
ViPragSent XLM-R: − polarity auxiliary,3,"21,22,23",0.9280595828708623,0.001889360760546784,,,,0.8146015092136587,1.5889265870601716,3
ViPragSent XLM-R: − task-uncertainty weighting,3,"21,22,23",0.9289686364942652,0.002931198022040114,0.0816403098255396,0.010760176581433554,,0.8195424423683424,1.598564158272067,3
